airtemperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type_l,type_m,target
300.1,311.5,2218,17.0,123,True,False,0
302.0,310.9,1679,29.0,222,False,False,0
299.2,308.4,1393,48.4,35,True,False,0
302.1,310.7,1364,47.8,213,False,True,1
300.0,309.2,1635,32.4,4,False,True,0
301.4,310.8,1431,44.3,21,True,False,0
300.8,310.3,1537,33.3,52,True,False,0
299.7,309.2,1572,32.8,142,False,False,0
296.8,307.9,1843,25.2,116,False,True,0
298.0,307.7,1547,36.8,186,False,False,0
301.0,310.9,1679,29.8,64,True,False,0
295.7,306.1,1343,54.4,119,True,False,0
299.3,310.7,1374,48.9,222,False,True,0
300.8,309.7,1373,45.4,179,True,False,0
298.6,309.7,1627,33.4,99,True,False,0
300.4,311.5,1492,44.6,149,True,False,0
300.4,310.5,2424,14.5,12,True,False,0
301.3,310.5,1365,47.7,70,True,False,0
300.0,309.6,1694,28.7,94,True,False,0
301.4,310.3,2203,16.6,169,True,False,0
302.4,310.9,1469,39.6,86,True,False,0
297.3,308.6,1584,29.4,141,False,True,0
304.2,313.6,1424,43.7,151,False,True,0
298.9,310.0,1719,27.3,58,True,False,0
297.4,309.2,1620,33.2,28,True,False,0
302.1,311.2,1454,46.8,0,True,False,0
301.9,310.9,1486,40.3,6,True,False,0
297.2,308.5,1550,41.5,125,True,False,0
298.0,308.9,1339,51.4,68,False,True,0
300.2,311.6,1999,21.0,19,True,False,0
296.9,308.0,1546,31.1,11,True,False,0
303.5,312.8,1404,55.8,84,False,False,0
297.2,308.5,1494,39.6,181,True,False,0
302.1,311.5,1987,20.1,21,True,False,0
300.6,310.8,1378,51.2,119,True,False,0
302.6,312.4,1398,41.6,40,True,False,0
298.7,309.7,1697,29.8,74,False,False,0
296.7,308.0,1451,50.7,197,True,False,0
300.5,311.9,1370,44.8,20,False,True,0
301.3,311.1,1560,35.3,55,True,False,0
300.9,311.0,1567,34.3,130,False,True,0
303.7,312.7,1395,53.9,123,True,False,0
301.0,310.9,1495,37.3,21,False,False,0
303.6,312.7,2174,17.6,37,False,True,0
297.5,309.1,1540,38.5,176,False,True,0
297.6,308.4,1569,38.3,93,False,True,0
302.3,311.7,2170,18.2,91,True,False,0
298.0,308.5,1713,25.3,124,True,False,0
302.7,312.4,1477,46.3,251,True,False,1
297.1,308.0,1559,38.8,229,False,False,0
300.3,309.2,1649,32.4,50,True,False,0
300.2,309.7,1448,36.8,14,True,False,0
298.3,309.4,1356,45.4,96,True,False,0
301.8,310.7,1597,30.8,74,True,False,0
299.0,310.2,1516,35.3,102,True,False,0
302.2,311.3,1510,37.1,10,False,True,0
299.2,308.4,1330,51.2,56,False,True,0
300.2,309.5,1500,45.7,89,False,True,0
301.6,310.7,1683,29.7,131,True,False,0
299.9,310.4,1419,45.7,178,True,False,0
298.6,309.0,1469,46.0,4,True,False,0
300.9,311.0,2235,15.8,156,True,False,0
301.9,310.8,1400,58.2,79,True,False,0
298.2,308.3,1448,43.3,199,False,True,0
298.2,308.9,1367,45.0,85,True,False,0
298.6,309.1,1587,37.3,203,False,True,0
300.5,309.9,1480,40.0,148,True,False,0
300.8,310.2,1850,22.8,33,True,False,0
298.1,308.6,1558,42.4,14,True,False,0
297.1,308.1,1446,36.6,227,True,False,0
302.3,311.8,1475,42.8,38,False,False,0
301.1,310.6,1611,35.2,70,True,False,0
300.4,310.5,1578,32.8,26,True,False,0
297.3,308.5,1710,27.7,138,False,True,0
302.5,310.5,1520,41.2,154,True,False,0
302.2,310.7,1601,33.0,166,False,True,0
297.2,308.6,1636,31.3,192,True,False,0
297.1,307.8,1636,30.3,90,True,False,0
296.2,307.2,1552,34.8,8,False,True,0
300.3,311.4,1318,52.7,13,True,False,0
299.8,309.2,1400,42.6,210,True,False,0
298.6,309.5,1420,50.4,82,False,False,0
301.9,310.8,1906,21.7,62,True,False,0
302.1,310.8,1565,35.3,6,True,False,0
302.4,311.1,1905,20.9,77,True,False,0
298.6,309.8,1419,44.9,115,False,True,0
296.9,307.8,1285,52.1,100,True,False,0
298.3,308.5,1664,31.6,144,True,False,0
296.8,307.9,1337,56.5,5,True,False,0
302.2,311.2,1692,28.2,122,False,False,0
298.7,309.9,1404,47.1,64,True,False,0
298.2,307.6,1511,31.0,209,True,False,1
300.5,309.7,1580,42.8,196,True,False,0
302.8,310.6,1404,43.2,203,True,False,0
302.0,310.8,1609,35.2,4,False,True,0
299.2,308.5,1457,44.7,195,True,False,0
299.2,308.5,1742,28.9,150,False,True,0
302.9,311.0,1469,48.7,130,False,False,0
297.8,308.5,1448,40.0,192,True,False,0
297.2,308.6,1335,53.0,39,True,False,0
297.5,308.6,1536,38.7,7,False,False,0
303.6,312.5,1607,33.7,14,False,True,0
296.8,307.9,1698,30.8,48,True,False,0
301.2,309.8,1709,27.0,151,False,False,0
300.8,312.4,1365,44.5,129,True,False,0
299.7,309.6,1553,36.8,174,True,False,0
298.1,307.4,1335,56.2,190,False,True,0
297.2,307.9,1540,37.1,164,True,False,0
300.3,310.4,1293,49.7,37,False,True,0
298.3,309.0,1470,38.4,10,False,False,0
300.1,309.4,1453,47.6,28,True,False,0
299.9,309.1,1345,56.8,10,False,True,0
301.3,311.0,1539,36.9,206,True,False,0
299.4,308.6,1492,40.5,181,True,False,0
298.4,309.3,1395,47.6,24,True,False,0
302.3,311.5,1387,47.3,2,True,False,0
300.9,310.9,1497,43.2,62,True,False,0
298.8,308.5,1736,29.0,31,True,False,0
297.8,307.6,1607,30.3,62,True,False,0
300.0,309.5,1879,22.4,79,False,True,0
297.5,308.9,1738,24.0,195,True,False,0
297.6,308.8,1385,44.4,181,False,False,0
302.2,311.1,1516,33.7,158,False,True,0
303.8,313.0,1633,32.9,207,True,False,0
300.6,310.7,1397,53.7,80,True,False,0
297.3,308.3,1268,60.6,119,True,False,0
297.6,308.6,1529,45.3,15,True,False,0
300.2,311.0,2370,14.7,144,False,True,0
302.4,310.1,1645,31.6,93,True,False,0
303.7,312.4,1702,31.2,144,True,False,0
299.8,309.3,1640,31.1,211,False,True,0
299.7,311.1,1574,36.4,135,True,False,0
297.5,309.4,1650,34.6,142,True,False,0
301.5,310.0,1417,44.6,49,False,True,0
298.1,308.1,1456,43.7,80,False,True,0
299.5,310.1,1585,35.2,50,True,False,0
301.0,310.6,1493,37.8,206,True,False,1
301.7,310.7,1659,29.9,73,False,True,0
297.3,308.4,1469,46.7,65,True,False,0
302.2,310.1,1421,45.4,9,False,True,0
303.6,312.8,1689,33.1,16,False,True,0
298.5,309.6,1579,33.5,91,False,False,0
300.6,310.2,1318,51.0,8,True,False,0
302.1,310.6,1517,38.9,2,False,True,0
297.1,308.2,2267,15.7,181,True,False,0
299.4,308.6,1415,56.4,175,True,False,0
301.0,310.7,1300,57.2,174,True,False,0
297.9,308.5,1383,44.6,184,False,False,0
301.9,310.8,1427,47.7,92,True,False,0
299.4,309.3,1391,46.6,185,True,False,0
299.3,310.4,1510,45.5,27,False,False,0
300.0,311.5,1445,41.6,81,True,False,0
298.2,309.1,1568,36.3,166,True,False,0
300.9,311.9,2140,16.5,43,False,False,0
299.6,310.9,1472,40.9,137,True,False,0
298.5,309.6,1502,39.4,84,False,True,0
300.6,310.0,1455,40.4,172,True,False,0
299.1,310.6,1577,37.1,44,True,False,0
302.5,310.3,1688,31.6,66,True,False,0
298.9,310.0,1378,49.3,18,True,False,0
298.5,309.3,1761,27.2,49,False,True,0
297.5,308.2,1489,40.7,141,True,False,0
297.7,309.0,1531,42.4,38,False,True,0
297.4,308.2,1359,46.9,199,False,False,0
301.7,310.6,1660,28.7,66,True,False,0
301.0,311.9,1889,23.5,198,True,False,0
302.3,310.1,1353,50.9,36,True,False,1
298.3,309.1,1616,31.1,195,True,False,0
299.2,309.1,1503,34.7,6,False,True,0
297.5,308.0,1560,39.0,141,False,True,0
299.6,309.2,1422,39.8,219,True,False,0
300.5,311.4,1743,27.6,46,False,True,0
297.2,307.9,1632,37.5,156,False,True,0
300.1,309.3,1340,56.0,130,True,False,0
298.0,308.5,1682,33.0,58,False,True,0
297.6,309.6,1419,48.2,215,False,False,0
300.7,310.9,1650,29.4,102,True,False,0
300.8,311.9,1498,39.3,23,True,False,0
303.0,311.2,1382,50.5,203,True,False,0
301.9,310.7,1511,37.6,70,False,True,0
297.9,307.7,1464,43.2,97,False,False,0
301.4,310.6,1459,46.9,27,False,True,0
298.4,308.3,1422,42.7,186,True,False,0
300.0,309.3,1413,40.7,117,False,True,0
300.5,309.5,1320,49.9,59,False,True,0
300.3,311.3,1377,53.8,125,False,True,0
300.6,310.0,1438,53.8,103,True,False,0
297.9,307.8,1499,37.5,78,True,False,0
298.8,309.6,1442,50.0,104,True,False,0
295.6,306.0,1569,40.4,174,True,False,0
297.7,309.2,1732,28.8,152,False,True,0
300.3,311.5,1695,25.6,43,True,False,0
300.2,311.6,1510,47.5,146,False,True,0
298.8,310.0,1412,46.3,107,True,False,0
298.6,309.4,1315,55.5,28,True,False,0
297.7,307.3,1365,49.2,36,False,True,0
297.4,308.2,1639,33.8,39,True,False,0
302.5,311.5,1481,41.1,215,False,True,0
300.0,309.6,1452,46.0,51,True,False,0
296.6,307.5,1734,27.0,50,False,True,0
302.6,312.3,1454,54.8,253,False,True,1
298.2,308.8,1302,60.4,34,True,False,0
295.8,306.5,1568,35.1,111,True,False,0
297.4,308.4,1369,50.6,220,True,False,1
301.2,310.6,1352,52.0,69,False,False,0
300.8,311.8,1928,21.8,209,True,False,0
300.8,310.7,1924,22.4,36,False,True,0
301.7,310.2,1620,30.8,42,False,False,0
302.0,311.0,1420,45.9,144,True,False,0
300.4,311.7,1513,40.0,51,True,False,0
300.6,311.7,1535,33.3,92,False,False,0
297.2,308.3,1326,57.2,100,False,True,0
299.0,308.5,1559,38.1,194,True,False,0
302.4,311.8,1557,31.5,49,False,True,0
297.1,308.0,1690,25.6,159,False,True,0
299.3,308.5,1589,32.7,74,True,False,0
298.8,308.9,1527,32.4,189,True,False,0
297.5,308.5,1484,44.7,40,False,True,0
298.3,308.1,1840,21.5,88,True,False,0
301.1,310.0,1433,48.1,14,False,True,0
302.1,311.2,1460,46.9,198,True,False,0
300.8,309.9,2041,19.2,194,False,False,0
300.8,311.9,1431,48.5,25,False,False,0
300.7,310.4,1366,52.6,205,True,False,0
302.0,311.2,1434,44.9,15,True,False,0
299.8,310.0,1632,33.7,172,False,True,0
299.8,311.3,1727,30.0,24,True,False,0
301.1,311.3,1836,22.8,31,False,True,0
297.5,308.9,1390,47.4,187,True,False,0
300.4,309.4,1362,42.1,182,False,True,0
301.7,311.0,1311,46.8,136,False,True,0
298.2,308.3,1402,51.0,141,True,False,0
299.4,308.5,1845,22.9,76,True,False,0
300.8,310.4,1518,36.0,59,False,True,0
296.9,307.9,1385,44.8,144,False,True,0
300.3,309.9,1393,56.1,12,True,False,0
298.1,309.0,1437,36.2,95,True,False,0
300.2,311.4,1495,43.6,95,True,False,0
298.9,309.9,1590,31.3,98,True,False,0
301.8,310.7,1644,33.4,68,True,False,0
300.3,309.6,1419,42.5,137,False,True,0
298.2,308.3,2051,19.2,90,True,False,0
297.5,309.6,1312,50.7,0,True,False,0
300.0,309.2,1566,34.4,18,True,False,0
303.6,312.6,1502,39.5,103,True,False,0
300.5,309.4,1655,32.1,37,False,True,0
302.5,312.0,1357,42.0,179,False,False,0
302.4,311.4,1675,29.6,128,False,True,0
297.4,308.5,1692,34.3,83,True,False,0
299.8,309.3,1663,35.2,208,False,True,0
299.0,308.6,1329,60.5,120,True,False,0
301.9,310.7,1472,47.0,73,False,True,0
300.1,309.1,1551,33.7,214,True,False,0
298.2,308.9,1336,45.0,66,True,False,0
298.6,309.2,1311,46.6,44,False,True,0
299.6,309.3,1553,32.4,112,False,True,0
298.1,308.9,1417,39.2,65,False,True,0
298.6,309.0,1456,47.7,0,True,False,0
299.5,310.1,1359,61.1,67,False,True,0
301.0,311.6,1461,40.6,154,True,False,0
300.4,309.9,1376,43.5,74,True,False,0
302.2,311.4,1432,45.3,33,False,True,0
301.4,310.6,1459,35.0,87,False,True,0
299.4,309.3,1366,48.4,116,True,False,0
298.7,309.8,1546,40.9,109,True,False,0
298.8,309.7,1480,38.1,157,False,True,0
298.3,308.1,1505,46.1,80,True,False,0
302.5,311.4,1629,31.7,225,False,True,0
298.0,308.9,1406,40.9,77,True,False,0
297.8,309.2,1400,56.9,34,True,False,0
297.4,308.5,1389,39.2,54,True,False,0
302.0,311.3,1725,27.7,23,False,True,0
299.2,308.4,1436,41.8,28,True,False,0
298.2,307.6,1369,54.5,82,True,False,0
298.3,309.6,1681,27.1,194,False,True,0
300.7,311.1,1427,50.3,137,True,False,0
301.4,310.8,1698,29.6,99,True,False,0
296.9,307.7,1653,35.9,177,True,False,0
295.6,306.1,1651,28.1,110,False,True,0
298.5,308.6,1897,20.2,50,False,True,0
297.9,307.9,1406,58.5,93,False,False,0
301.2,310.6,1811,24.0,84,True,False,0
301.0,312.2,1510,39.9,61,True,False,0
298.2,308.8,1645,28.2,58,False,True,0
297.9,308.7,1751,26.6,111,False,True,0
300.0,311.4,1533,42.6,180,False,True,0
301.6,309.8,1588,33.9,89,True,False,0
302.3,310.9,1627,32.3,0,False,True,0
300.3,311.7,1551,36.4,84,False,True,0
295.6,306.1,1418,46.2,24,False,True,0
300.6,311.8,1652,27.2,52,True,False,0
300.0,309.6,1431,47.7,39,True,False,0
297.4,308.9,1500,46.3,137,False,True,0
297.8,307.9,1726,27.3,35,False,True,0
299.8,311.2,2142,16.6,144,True,False,0
300.9,310.0,1416,46.6,201,False,True,0
297.3,308.4,1864,23.1,90,False,False,0
298.5,308.2,1444,40.5,170,True,False,0
297.5,308.6,1355,58.9,138,False,False,0
297.4,308.4,1341,52.2,49,True,False,0
301.1,312.4,1809,25.1,126,False,True,0
299.3,308.5,1404,49.4,93,False,True,0
299.9,310.0,1447,45.9,162,True,False,0
297.5,308.9,1471,37.7,197,False,False,0
297.6,308.6,1664,30.1,81,True,False,0
300.0,311.5,1749,28.3,83,True,False,0
298.3,308.1,1528,33.9,82,True,False,0
297.9,309.0,1562,35.8,40,True,False,0
298.5,308.8,1332,59.1,115,True,False,0
297.4,308.7,1522,46.3,146,False,False,0
300.1,309.3,1616,32.0,199,True,False,0
299.8,309.4,1460,37.4,25,True,False,0
296.4,307.5,1331,47.8,99,True,False,0
299.3,308.8,1647,32.9,172,True,False,0
300.2,311.6,1511,35.7,160,True,False,0
299.0,309.1,1523,38.6,177,True,False,0
298.7,309.8,1435,48.8,71,False,True,0
296.0,306.6,1628,36.8,121,False,True,0
297.8,307.2,1351,56.3,174,True,False,0
301.3,310.8,1494,35.3,54,False,True,0
301.5,310.5,1611,33.8,144,True,False,0
299.3,309.0,1732,29.7,141,False,False,0
304.2,313.4,1644,31.7,23,True,False,0
299.7,309.1,1483,41.1,208,True,False,0
303.6,312.3,1630,32.4,223,False,True,0
300.5,310.0,1451,48.6,208,True,False,0
298.6,310.2,1569,36.3,10,True,False,0
298.7,309.6,1254,57.1,124,False,True,0
298.8,309.6,1575,34.4,149,False,True,0
298.5,309.3,1552,36.8,133,False,True,0
301.9,310.4,1603,37.6,69,True,False,0
300.0,309.1,1401,44.5,0,True,False,0
301.9,310.8,1563,39.2,39,False,True,0
297.2,307.9,1309,49.6,167,True,False,0
295.7,306.3,1490,34.3,97,True,False,0
298.4,309.5,1514,38.8,128,False,True,0
299.9,310.5,1539,32.8,213,True,False,0
302.9,312.3,1509,46.8,175,False,False,0
302.3,311.3,1439,41.8,96,True,False,0
297.5,308.6,1536,39.0,202,True,False,0
297.8,308.3,1477,44.8,170,True,False,0
296.9,307.8,1426,50.7,130,False,True,0
298.3,308.4,1490,41.7,170,True,False,0
302.9,312.5,1903,21.2,23,False,True,0
300.7,309.9,1383,44.5,176,True,False,0
301.4,311.2,1727,26.5,43,False,True,0
300.4,309.6,1563,34.0,6,False,True,0
301.9,310.9,1590,34.3,106,False,False,0
297.4,308.4,1474,43.6,4,True,False,0
298.2,309.0,1353,50.3,150,False,True,0
302.2,311.1,1351,48.6,110,True,False,0
301.9,310.5,1472,39.7,187,False,False,0
299.8,309.2,1439,36.1,203,True,False,0
298.0,307.6,1472,46.7,116,False,True,0
298.8,308.7,1543,38.2,44,False,True,0
299.0,310.4,1339,49.6,94,True,False,0
302.7,312.2,1376,52.8,164,True,False,0
301.9,310.5,1590,40.3,130,False,True,0
302.3,310.8,1465,43.8,7,True,False,0
297.9,307.6,1747,25.3,136,True,False,0
295.5,306.1,1573,35.1,129,True,False,0
297.4,308.4,1421,46.0,124,True,False,0
301.2,310.9,1413,50.1,141,True,False,0
299.0,310.6,1587,34.2,141,False,True,0
303.5,312.9,1572,44.7,84,False,True,0
300.2,309.7,1408,44.0,144,False,True,0
302.2,311.5,1479,39.5,36,False,True,0
301.4,310.8,1610,34.6,187,True,False,0
297.5,308.3,1674,30.0,54,False,False,0
301.7,311.1,1618,36.7,115,False,True,0
300.4,311.8,1433,42.2,14,True,False,0
299.8,309.6,1526,41.7,85,True,False,0
300.3,310.3,1629,34.1,52,True,False,0
299.4,309.2,1621,34.5,48,True,False,0
302.1,310.1,1447,46.6,169,True,False,0
299.7,311.0,1506,42.7,85,False,True,0
298.0,307.7,1492,38.7,202,True,False,0
298.2,308.3,1458,41.8,132,True,False,0
303.8,313.1,1523,39.8,150,True,False,0
298.9,310.2,1445,40.0,129,True,False,0
298.9,308.4,1827,26.1,5,False,True,0
301.8,310.2,1437,42.3,0,False,True,0
299.1,308.4,1693,31.6,65,True,False,0
298.8,308.9,1455,41.3,208,True,False,1
302.6,310.4,1365,66.8,80,True,False,1
300.1,309.5,1353,50.9,34,True,False,0
301.8,311.1,1495,36.9,197,True,False,0
297.6,308.3,1648,29.1,134,False,True,0
301.9,309.7,1719,31.9,0,True,False,0
303.3,312.7,1643,30.7,142,True,False,0
303.3,311.6,1484,44.6,223,True,False,0
299.0,310.3,1662,33.6,67,False,True,0
297.4,308.3,1854,21.8,24,True,False,0
298.9,310.5,1429,39.9,19,False,False,0
301.9,310.9,1456,43.6,45,False,True,0
301.0,310.7,1464,45.8,184,True,False,0
299.2,308.7,1514,41.9,196,True,False,0
297.2,308.6,1444,41.1,56,False,True,0
299.2,309.1,1468,45.6,2,True,False,0
300.4,309.6,1543,38.1,209,True,False,0
302.4,311.1,1578,32.3,196,False,False,0
301.3,310.5,1390,45.8,63,True,False,0
302.4,311.8,1448,43.4,141,True,False,0
297.3,308.0,1518,36.0,59,True,False,0
298.2,309.0,1508,40.5,192,False,True,0
297.7,308.3,1547,36.8,74,False,True,0
300.3,311.8,1483,45.1,181,False,True,0
299.5,309.1,1336,42.1,217,True,False,0
300.8,309.4,1474,40.7,104,False,False,0
300.4,309.8,1342,52.5,68,True,False,0
298.7,310.1,1644,34.1,46,False,True,0
301.3,311.1,1504,39.1,2,True,False,0
295.7,306.3,1712,28.5,43,False,True,0
300.4,310.7,1656,36.3,127,False,False,0
303.7,312.5,1520,35.6,154,False,False,0
300.1,309.1,1353,58.7,86,True,False,0
298.2,308.9,1709,28.1,81,True,False,0
298.1,307.8,1503,44.7,54,False,True,0
303.6,312.5,1431,49.0,162,True,False,0
300.7,311.9,1366,55.1,36,False,True,0
303.7,312.3,1384,45.9,121,True,False,0
300.7,310.8,1496,46.4,90,True,False,0
298.7,310.1,1433,54.6,66,True,False,0
300.9,312.0,1441,43.8,210,True,False,0
298.9,310.1,1577,41.4,80,True,False,0
296.1,307.1,1898,22.7,20,True,False,0
297.7,309.4,1461,43.7,142,False,True,0
298.8,310.2,1581,37.5,75,False,True,0
303.3,311.7,1508,35.5,217,True,False,0
297.3,307.8,1538,48.0,171,False,True,0
297.5,308.8,1312,50.3,159,True,False,0
300.4,309.5,1543,38.9,37,True,False,0
297.9,309.1,1507,36.9,13,True,False,0
301.6,311.2,1408,42.9,89,True,False,0
301.3,310.0,1438,40.9,7,True,False,0
302.6,311.0,1610,39.2,152,True,False,0
300.5,311.4,1679,27.5,59,False,False,0
298.1,308.5,1382,54.5,17,False,True,0
301.5,310.6,1587,33.7,122,True,False,0
302.2,311.3,1382,46.4,94,True,False,0
302.5,311.9,1452,47.4,77,True,False,0
298.1,308.3,1453,41.5,204,False,True,0
300.5,309.7,1395,61.0,157,True,False,0
303.7,312.8,1437,51.3,42,True,False,0
297.2,307.9,1493,38.4,146,True,False,0
301.9,310.9,1421,46.2,26,False,True,0
301.7,311.0,1585,35.9,185,True,False,0
298.9,309.8,1534,42.1,23,True,False,0
300.5,310.8,1631,30.5,132,False,False,0
297.3,308.6,1505,33.5,14,True,False,0
298.9,310.1,1484,40.4,61,False,True,0
299.8,311.1,1820,24.9,174,True,False,0
299.6,309.2,1597,36.3,35,False,False,0
297.8,307.8,1622,32.1,18,False,True,0
298.8,308.4,1484,39.2,8,True,False,0
301.0,312.1,1664,28.4,168,False,True,0
298.3,310.0,1442,43.9,110,True,False,0
302.7,312.2,1405,51.4,157,True,False,0
300.7,310.2,1364,65.3,208,False,False,1
301.1,310.2,1657,34.1,52,True,False,0
300.9,311.4,2073,21.4,105,True,False,0
303.6,312.6,1606,33.6,184,True,False,0
300.7,310.3,1662,34.4,57,True,False,0
298.6,308.4,1310,59.7,40,True,False,0
303.6,312.7,1429,47.7,198,True,False,0
300.4,309.7,1384,45.1,159,True,False,0
302.2,311.4,2080,19.2,31,True,False,0
297.9,308.8,1538,37.6,54,False,True,0
298.4,308.2,1463,37.6,188,False,True,0
297.7,308.9,1575,39.9,12,True,False,0
303.5,312.8,1877,22.3,96,True,False,0
299.6,309.2,1572,33.4,20,True,False,0
302.0,309.9,1606,34.5,156,False,False,0
297.6,308.1,1379,57.4,122,False,True,0
300.7,311.3,1374,53.1,66,False,False,0
298.0,308.7,1536,39.6,99,False,False,0
304.0,313.2,1517,43.1,96,False,False,0
303.4,311.7,1476,42.3,180,True,False,0
301.2,312.4,1428,36.6,99,False,True,0
301.9,310.6,1467,39.3,32,True,False,0
301.4,310.6,1347,53.3,104,True,False,0
298.0,309.2,1527,39.5,85,True,False,0
298.6,309.6,1533,40.7,106,True,False,0
298.4,308.8,1458,40.1,111,True,False,0
302.2,311.4,1499,37.7,55,True,False,0
297.7,308.3,1488,41.0,101,False,False,0
300.8,310.8,1407,45.1,51,True,False,0
298.1,307.6,2066,19.2,150,False,True,0
300.0,309.6,1738,28.7,51,True,False,0
303.3,311.4,1692,27.9,55,False,False,0
296.7,307.5,1607,33.6,38,False,False,0
302.7,311.7,1784,25.1,177,False,True,0
300.4,309.7,1584,32.6,71,True,False,0
302.3,311.3,1614,34.1,129,True,False,0
297.3,308.4,1686,34.5,97,False,True,0
297.9,309.0,1379,47.3,28,True,False,0
297.0,307.9,1350,47.7,168,True,False,0
298.8,309.1,1350,52.5,111,True,False,0
298.2,307.6,1492,37.2,178,True,False,0
298.6,309.6,1390,50.3,196,True,False,0
302.1,310.9,1916,23.1,51,False,True,0
300.6,311.0,1563,40.7,87,True,False,0
302.4,310.9,1444,40.7,174,False,False,0
297.9,309.0,2456,13.9,82,False,True,0
298.6,309.0,1481,40.8,6,False,True,0
302.0,309.8,1456,58.1,145,True,False,0
300.2,310.0,1493,47.3,172,True,False,0
297.3,308.8,1586,32.7,131,False,True,0
297.4,308.6,1439,46.4,114,True,False,0
297.9,309.9,1472,45.0,183,True,False,0
297.4,308.6,1609,36.2,116,True,False,0
300.6,309.5,1471,49.6,29,True,False,0
299.1,308.4,1332,51.7,71,False,True,0
300.4,310.8,1348,56.0,146,True,False,0
299.6,310.2,1473,42.7,81,True,False,0
300.8,311.3,1505,45.5,141,True,False,0
303.8,312.7,1414,41.7,190,True,False,0
300.6,310.0,1313,52.9,93,True,False,0
301.0,312.1,1675,30.7,200,True,False,0
300.2,311.4,1450,38.5,68,False,True,0
303.1,312.5,1453,49.1,140,True,False,0
299.0,310.1,1505,41.3,85,True,False,0
300.8,310.4,1450,39.4,62,False,True,0
